Sequence id,Meter,Date in meter,Connection Status
969551703,00100868,10-02-2016 16:04,Connected
969577735,00100868,10-02-2016 16:09,Disconnected
969580091,00100868,10-02-2016 16:10,Connected
969606555,00100868,10-02-2016 16:15,Disconnected
969609067,00100868,10-02-2016 16:15,Connected
969634003,00100868,10-02-2016 16:20,Disconnected
969636379,00100868,10-02-2016 16:21,Connected
969661975,00100868,10-02-2016 16:26,Disconnected
969664347,00100868,10-02-2016 16:26,Connected
969688695,00100868,10-02-2016 16:31,Disconnected
969690927,00100868,10-02-2016 16:32,Connected
969715719,00100868,10-02-2016 16:37,Disconnected
969717975,00100868,10-02-2016 16:37,Connected
969739055,00100868,10-02-2016 16:42,Disconnected
969740727,00100868,10-02-2016 16:43,Connected
969773267,00100868,10-02-2016 16:52,Disconnected
969774939,00100868,10-02-2016 16:52,Connected
969793511,00100868,10-02-2016 16:57,Disconnected
969795491,00100868,10-02-2016 16:58,Connected
969817159,00100868,10-02-2016 17:03,Disconnected
969819259,00100868,10-02-2016 17:03,Connected
969839863,00100868,10-02-2016 17:08,Disconnected
972597487,00100868,11-02-2016 13:23,Connected
972620035,00100868,11-02-2016 13:28,Disconnected
972621663,00100868,11-02-2016 13:29,Connected
972643883,00100868,11-02-2016 13:34,Disconnected
972645879,00100868,11-02-2016 13:34,Connected
972669559,00100868,11-02-2016 13:39,Disconnected
972671463,00100868,11-02-2016 13:40,Connected
972690859,00100868,11-02-2016 13:45,Disconnected
972692687,00100868,11-02-2016 13:45,Connected
972718719,00100868,11-02-2016 13:52,Disconnected
972720623,00100868,11-02-2016 13:52,Connected
972742107,00100868,11-02-2016 13:57,Disconnected
972744319,00100868,11-02-2016 13:58,Connected
972769459,00100868,11-02-2016 14:03,Disconnected
972771767,00100868,11-02-2016 14:03,Connected
972799195,00100868,11-02-2016 14:08,Disconnected
972801723,00100868,11-02-2016 14:09,Connected
972831291,00100868,11-02-2016 14:14,Disconnected
972834219,00100868,11-02-2016 14:14,Connected
972861407,00100868,11-02-2016 14:19,Disconnected
972864043,00100868,11-02-2016 14:20,Connected
972893491,00100868,11-02-2016 14:25,Disconnected
972896231,00100868,11-02-2016 14:25,Connected
972922391,00100868,11-02-2016 14:30,Disconnected
972924779,00100868,11-02-2016 14:31,Connected
972951307,00100868,11-02-2016 14:36,Disconnected
972953723,00100868,11-02-2016 14:36,Connected
972978027,00100868,11-02-2016 14:41,Disconnected
972980095,00100868,11-02-2016 14:42,Connected
973020411,00100868,11-02-2016 14:52,Disconnected
973022375,00100868,11-02-2016 14:52,Connected
973045519,00100868,11-02-2016 14:57,Disconnected
973047879,00100868,11-02-2016 14:58,Connected
973074487,00100868,11-02-2016 15:03,Disconnected
973077195,00100868,11-02-2016 15:03,Connected
973103471,00100868,11-02-2016 15:08,Disconnected
973105987,00100868,11-02-2016 15:09,Connected
973133143,00100868,11-02-2016 15:14,Disconnected
973135747,00100868,11-02-2016 15:14,Connected
973162327,00100868,11-02-2016 15:19,Disconnected
973164675,00100868,11-02-2016 15:20,Connected
973191755,00100868,11-02-2016 15:25,Disconnected
973194275,00100868,11-02-2016 15:25,Connected
973220215,00100868,11-02-2016 15:30,Disconnected
973222615,00100868,11-02-2016 15:31,Connected
973250071,00100868,11-02-2016 15:36,Disconnected
973252611,00100868,11-02-2016 15:36,Connected
973277031,00100868,11-02-2016 15:41,Disconnected
973279083,00100868,11-02-2016 15:42,Connected
973320439,00100868,11-02-2016 15:52,Disconnected
973322579,00100868,11-02-2016 15:52,Connected
973345207,00100868,11-02-2016 15:57,Disconnected
973347535,00100868,11-02-2016 15:58,Connected
973374743,00100868,11-02-2016 16:03,Disconnected
973377247,00100868,11-02-2016 16:03,Connected
973403955,00100868,11-02-2016 16:08,Disconnected
