Sequence id,Meter,Date in meter,Connection Status
964065639,0010031D,09-02-2016 09:04,Connected
964083767,0010031D,09-02-2016 09:09,Disconnected
964085339,0010031D,09-02-2016 09:10,Connected
964103415,0010031D,09-02-2016 09:15,Disconnected
964105107,0010031D,09-02-2016 09:15,Connected
964122999,0010031D,09-02-2016 09:20,Disconnected
964124595,0010031D,09-02-2016 09:21,Connected
964143283,0010031D,09-02-2016 09:26,Disconnected
964145055,0010031D,09-02-2016 09:26,Connected
964162511,0010031D,09-02-2016 09:31,Disconnected
964164187,0010031D,09-02-2016 09:32,Connected
964182327,0010031D,09-02-2016 09:37,Disconnected
964183923,0010031D,09-02-2016 09:37,Connected
964199875,0010031D,09-02-2016 09:42,Disconnected
964201267,0010031D,09-02-2016 09:43,Connected
964215687,0010031D,09-02-2016 09:48,Disconnected
964216855,0010031D,09-02-2016 09:48,Connected
964231471,0010031D,09-02-2016 09:53,Disconnected
964232751,0010031D,09-02-2016 09:54,Connected
964250067,0010031D,09-02-2016 09:59,Disconnected
964251851,0010031D,09-02-2016 10:00,Connected
964269699,0010031D,09-02-2016 10:05,Disconnected
964271495,0010031D,09-02-2016 10:05,Connected
964288139,0010031D,09-02-2016 10:10,Disconnected
964289851,0010031D,09-02-2016 10:11,Connected
964307511,0010031D,09-02-2016 10:16,Disconnected
964309071,0010031D,09-02-2016 10:16,Connected
964325755,0010031D,09-02-2016 10:21,Disconnected
964327247,0010031D,09-02-2016 10:21,Connected
964344623,0010031D,09-02-2016 10:26,Disconnected
964345979,0010031D,09-02-2016 10:27,Connected
964362371,0010031D,09-02-2016 10:32,Disconnected
964364035,0010031D,09-02-2016 10:32,Connected
964381127,0010031D,09-02-2016 10:37,Disconnected
964382623,0010031D,09-02-2016 10:38,Connected
964397343,0010031D,09-02-2016 10:43,Disconnected
964398535,0010031D,09-02-2016 10:43,Connected
964412155,0010031D,09-02-2016 10:48,Disconnected
964413147,0010031D,09-02-2016 10:49,Connected
964426599,0010031D,09-02-2016 10:54,Disconnected
968344095,0010031D,10-02-2016 11:12,Connected
968360587,0010031D,10-02-2016 11:17,Disconnected
968361603,0010031D,10-02-2016 11:17,Connected
968377667,0010031D,10-02-2016 11:22,Disconnected
968378803,0010031D,10-02-2016 11:23,Connected
968403391,0010031D,10-02-2016 11:31,Disconnected
971852895,0010031D,11-02-2016 09:29,Connected
971870523,0010031D,11-02-2016 09:34,Disconnected
971871979,0010031D,11-02-2016 09:35,Connected
971888975,0010031D,11-02-2016 09:40,Disconnected
971890291,0010031D,11-02-2016 09:40,Connected
971903963,0010031D,11-02-2016 09:46,Disconnected
971905231,0010031D,11-02-2016 09:46,Connected
971918447,0010031D,11-02-2016 09:51,Disconnected
971919727,0010031D,11-02-2016 09:51,Connected
971944771,0010031D,11-02-2016 10:00,Disconnected
971946191,0010031D,11-02-2016 10:00,Connected
971963291,0010031D,11-02-2016 10:05,Disconnected
971964831,0010031D,11-02-2016 10:06,Connected
971981035,0010031D,11-02-2016 10:11,Disconnected
971982775,0010031D,11-02-2016 10:11,Connected
972001015,0010031D,11-02-2016 10:17,Connected
972001007,0010031D,11-02-2016 10:17,Disconnected
972016983,0010031D,11-02-2016 10:22,Disconnected
972018967,0010031D,11-02-2016 10:22,Connected
972035603,0010031D,11-02-2016 10:27,Disconnected
972037127,0010031D,11-02-2016 10:28,Connected
972053215,0010031D,11-02-2016 10:33,Disconnected
972054731,0010031D,11-02-2016 10:33,Connected
972070735,0010031D,11-02-2016 10:38,Disconnected
972072307,0010031D,11-02-2016 10:39,Connected
972085407,0010031D,11-02-2016 10:44,Disconnected
972086611,0010031D,11-02-2016 10:44,Connected
972100147,0010031D,11-02-2016 10:50,Connected
972100143,0010031D,11-02-2016 10:50,Disconnected
972126035,0010031D,11-02-2016 10:59,Disconnected
972127535,0010031D,11-02-2016 11:00,Connected
972143483,0010031D,11-02-2016 11:05,Disconnected
972145131,0010031D,11-02-2016 11:05,Connected
972160043,0010031D,11-02-2016 11:10,Disconnected
972161591,0010031D,11-02-2016 11:11,Connected
972178679,0010031D,11-02-2016 11:16,Connected
972178675,0010031D,11-02-2016 11:16,Disconnected
972193839,0010031D,11-02-2016 11:21,Disconnected
972195323,0010031D,11-02-2016 11:22,Connected
972211927,0010031D,11-02-2016 11:27,Disconnected
972213391,0010031D,11-02-2016 11:27,Connected
972228603,0010031D,11-02-2016 11:32,Disconnected
972230039,0010031D,11-02-2016 11:33,Connected
