Meter,Days Connected,Days Disconnected
00100007,2016-03-09,2016-02-09
00100007,,2016-02-10
00100007,,2016-02-11
00100007,,2016-02-12
00100007,,2016-02-13
00100007,,2016-02-14
00100007,,2016-02-15
00100007,,2016-02-16
00100007,,2016-02-17
00100007,,2016-02-18
00100007,,2016-02-19
00100007,,2016-02-20
00100007,,2016-02-21
00100007,,2016-02-22
00100007,,2016-02-23
00100007,,2016-02-24
00100007,,2016-02-25
00100007,,2016-02-26
00100007,,2016-02-27
00100007,,2016-02-28
00100007,,2016-02-29
00100007,,2016-03-01
00100007,,2016-03-02
00100007,,2016-03-03
00100007,,2016-03-04
00100007,,2016-03-05
00100007,,2016-03-06
00100007,,2016-03-07
00100007,,2016-03-08
001000D9,2016-03-09,2016-03-04
001000D9,,2016-03-05
001000D9,,2016-03-06
001000D9,,2016-03-07
001000D9,,2016-03-08
00100175,,2016-02-11
00100175,,2016-02-12
00100175,,2016-02-13
00100175,,2016-02-14
00100175,,2016-02-15
00100175,,2016-02-16
00100175,,2016-02-17
00100175,,2016-02-18
00100175,,2016-02-19
00100175,,2016-02-20
00100175,,2016-02-21
00100175,,2016-02-22
00100175,,2016-02-23
00100175,,2016-02-24
00100175,,2016-02-25
00100175,,2016-02-26
00100175,,2016-02-27
00100175,,2016-02-28
00100175,,2016-02-29
00100175,,2016-03-01
00100175,,2016-03-02
00100175,,2016-03-03
00100175,,2016-03-04
00100175,,2016-03-05
00100175,,2016-03-06
00100235,,2016-02-09
00100235,,2016-02-10
00100235,,2016-02-11
00100235,,2016-02-12
00100235,,2016-02-13
00100235,,2016-02-14
00100235,,2016-02-15
00100235,,2016-02-16
00100235,,2016-02-17
00100235,,2016-02-18
00100235,,2016-02-19
00100235,,2016-02-20
00100235,,2016-02-21
00100235,,2016-02-22
00100235,,2016-02-23
00100235,,2016-02-24
00100235,,2016-02-25
00100235,,2016-02-26
00100235,,2016-02-27
00100235,,2016-02-28
00100235,,2016-02-29
00100235,,2016-03-01
00100235,,2016-03-02
00100235,,2016-03-03
00100235,,2016-03-04
00100235,,2016-03-05
00100235,,2016-03-06
00100235,,2016-03-07
00100235,,2016-03-08
00100278,,2016-02-14
00100278,,2016-02-15
00100278,,2016-02-16
00100278,,2016-02-17
00100278,,2016-02-18
00100278,,2016-02-19
00100278,,2016-02-20
00100278,,2016-02-21
00100278,,2016-02-22
00100278,,2016-02-23
00100278,,2016-02-24
00100278,,2016-02-25
00100278,,2016-02-26
00100278,,2016-02-27
00100278,,2016-02-28
00100278,,2016-02-29
00100278,,2016-03-01
00100278,,2016-03-02
00100278,,2016-03-03
00100278,,2016-03-04
00100278,,2016-03-05
00100278,,2016-03-06
00100278,,2016-03-07
00100278,,2016-03-08
0010031D,,2016-02-09
0010031D,,2016-02-10
0010031D,,2016-02-11
0010031D,,2016-02-12
0010031D,,2016-02-13
0010031D,,2016-02-14
0010031D,,2016-02-15
0010031D,,2016-02-16
0010031D,,2016-02-17
0010031D,,2016-02-18
0010031D,,2016-02-19
0010031D,,2016-02-20
0010031D,,2016-02-21
0010031D,,2016-02-22
0010031D,,2016-02-23
0010031D,,2016-02-24
0010031D,,2016-02-25
0010031D,,2016-02-26
0010031D,,2016-02-27
0010031D,,2016-02-28
0010031D,,2016-02-29
0010031D,,2016-03-01
0010031D,,2016-03-02
0010031D,,2016-03-03
0010031D,,2016-03-04
0010031D,,2016-03-05
0010031D,,2016-03-06
0010031D,,2016-03-07
00100350,2016-02-09,2016-02-10
00100350,2016-02-11,2016-02-14
00100350,2016-02-12,2016-02-15
00100350,2016-02-13,2016-02-16
00100350,2016-02-17,2016-02-18
00100350,2016-02-28,2016-02-19
00100350,2016-03-03,2016-02-20
00100350,,2016-02-21
00100350,,2016-02-22
00100350,,2016-02-23
00100350,,2016-02-24
00100350,,2016-02-25
00100350,,2016-02-26
00100350,,2016-02-27
00100350,,2016-02-29
00100350,,2016-03-01
00100350,,2016-03-02
00100350,,2016-03-04
00100350,,2016-03-05
00100350,,2016-03-06
00100350,,2016-03-07
0010035F,,2016-02-09
0010035F,,2016-02-10
0010035F,,2016-02-11
0010035F,,2016-02-12
0010035F,,2016-02-13
0010035F,,2016-02-14
0010035F,,2016-02-15
0010035F,,2016-02-16
0010035F,,2016-02-17
0010035F,,2016-02-18
0010035F,,2016-02-19
0010035F,,2016-02-20
0010035F,,2016-02-21
0010035F,,2016-02-22
0010035F,,2016-02-23
0010035F,,2016-02-24
0010035F,,2016-02-25
0010035F,,2016-02-26
0010035F,,2016-02-27
0010035F,,2016-02-28
0010035F,,2016-02-29
0010035F,,2016-03-01
0010035F,,2016-03-02
0010035F,,2016-03-03
0010035F,,2016-03-04
0010035F,,2016-03-05
0010035F,,2016-03-06
0010035F,,2016-03-07
0010036B,,2016-02-10
0010036B,,2016-02-11
0010036B,,2016-02-12
0010036B,,2016-02-13
0010036B,,2016-02-14
0010036B,,2016-02-15
0010036B,,2016-02-16
0010036B,,2016-02-17
0010036B,,2016-02-18
0010036B,,2016-02-19
0010036B,,2016-02-20
0010036B,,2016-02-21
0010036B,,2016-02-22
0010036B,,2016-02-23
0010036B,,2016-02-24
0010036B,,2016-02-25
0010036B,,2016-02-26
0010036B,,2016-02-27
0010036B,,2016-02-28
